,Sec Code
2,EGB610D1S026
3,EGB690R1S684
4,EGB690R1S718
5,EGB690R1S742
6,EGB690R1S767
7,EGB690R1S775
8,EGB690R1S791
9,EGB690R1S809
10,EGB690R1S825
11,EGB690R1S833
12,EGB690R1S841
13,EGB690R1S866
14,EGB690R1S874
15,EGB690R1S882
16,EGMFC001MM19
17,EGB690R1S908
18,EGB690R1S916
19,EGB692C1S192
20,EGB692C1S200
21,EGB692C1S226
22,EGB692C1S234
23,EGB692C1S242
24,EGB692C1S267
25,EGB692C1S275
26,EGB692C1S291
27,EGB692C1S309
28,EGB692C1S317
29,EGB692C1S325
30,EGB692C1S333
31,EGB692C1S341
32,EGB692C1S358
33,EGB692C1S366
34,EGB692C1S374
35,EGB692C1S382
36,EGB692R1S062
37,EGB692R1S070
38,EGB692R1S088
39,EGB692R1S096
40,EGB692R1S104
41,EGB692R1S138
42,EGB692R1S146
43,EGB692R1S153
44,EGB692R1S161
45,EGB692R1S179
46,EGB692R1S187
47,EGB692R1S195
48,EGB692R1S203
49,EGB692R1S211
50,EGB692R1S229
51,EGB69471S252
52,EGB69471S286
53,EGB69471S302
54,EGB69471S310
55,EGB69471S336
56,EGB69471S344
57,EGB69471S369
58,EGB69471S377
59,EGB69471S393
60,EGB69471S401
61,EGB69471S419
62,EGB69471S427
63,EGB69471S435
64,EGB69471S443
65,EGB69471S450
66,EGB69471S468
67,EGB694K1S067
68,EGB694K1S075
69,EGB694K1S083
70,EGB694K1S091
71,EGB694K1S109
72,EGB694K1S117
73,EGB694K1S125
74,EGB694K1S133
75,EGB694K1S141
76,EGB694K1S158
77,EGB694K1S166
78,EGB694K1S174
79,EGB694K1S182
80,EGB694K1S190
81,EGB694K1S208
82,EGB694K1S216
83,EGB694Y1S129
84,EGB694Y1S137
85,EGB694Y1S152
86,EGB694Y1S160
87,EGB694Y1S202
88,EGB694Y1S210
89,EGB694Y1S244
90,EGB694Y1S251
91,EGB694Y1S269
92,EGB694Y1S277
93,EGB694Y1S285
94,EGB694Z1S029
95,EGB69561S045
96,EGB69561S094
97,EGB69561S102
98,EGB69561S136
99,EGB69561S144
100,EGB69561S151
101,EGB69561S169
102,EGB69561S177
103,EGB69561S185
104,EGB69561S201
105,EGB69561S219
106,EGB69561S227
107,EGB69561S235
108,EGB69561S243
109,EGB69561S250
110,EGB69561S268
111,EGB695R1S051
112,EGB695R1S069
113,EGB695R1S077
114,EGB695R1S085
115,EGB695R1S093
116,EGB69611S030
117,EGB69611S089
118,EGB69611S097
119,EGB69611S139
120,EGB69611S154
121,EGB69611S162
122,EGB69611S188
123,EGB69611S196
124,EGB69611S204
125,EGB69611S212
126,EGB69611S220
127,EGB69611S238
128,EGB69611S246
129,EGB69611S253
130,EGB69611S261
131,EGB69611S279
132,EGB69611S287
133,EGB69671L013
134,EGB69671L039
135,EGB69671L047
136,EGB69671S026
137,EGB696G1L017
138,EGB696G1L025
139,EGB69761S017
140,EGB69761S025
141,EGB69761S033
142,EGB69761S041
143,EGB69761S058
144,EGB69761S066
145,EGB69761S074
146,EGB69781S015
147,EGB69781S023
148,EGB69781S031
149,EGB69781S049
150,EGB69781S056
151,EGB69781S064
152,EGB69781S072
153,EGB69781S080
154,EGB69781S098
155,EGB69781S106
156,EGB69781S114
157,EGB70342L026
158,EGB7CNX1L019
159,EGB7CNX1L027
160,EGMKM001DM19
161,EGBGH00261F2
162,EGBGH00271F1
163,EGBGH00281V7
164,EGBGH00291F9
165,EGBGH00301V3
166,EGBGH00311V2
167,EGBGH00321V1
168,EGBGH00331V0
169,EGBGH00341V9
170,EGBGH00351V8
171,EGBGH00361V7
172,EGBGH00371V6
173,EGBGH00381V5
174,EGBGH00391F7
175,EGBGH00401F4
176,EGBGH00411V0
177,EGBGH00421V9
178,EGBGH00431V8
179,EGBGH00441V7
180,EGX100 EWI
181,EGX30
182,EGX30 Capped
183,EGX50 EWI
184,EGX70 EWI
185,TAMAYUZ
186,EGS01041C010
187,EGS01071C017
188,EGS01081C016
189,EGS02021C011
190,EGS02051C018
191,EGS02091C014
192,EGS02211C018
193,EGS02291C010
194,EGS07061C012
195,EGS071L1C018
196,EGS10001C013
197,EGS102S1C014
198,EGS21171C011
199,EGS21351C019
200,EGS213S1C010
201,EGS21451C017
202,EGS214Q1C011
203,EGS21531C016
204,EGS21541C015
205,EGS21EB1C011
206,EGS21FW1C015
207,EGS23111C015
208,EGS23141C012
209,EGS30031C016
210,EGS300L1C011
211,EGS30201C015
212,EGS30211C014
213,EGS30221C013
214,EGS30291C016
215,EGS30351C018
216,EGS30361C017
217,EGS30401C011
218,EGS30411C010
219,EGS30421C019
220,EGS30441C017
221,EGS30451C016
222,EGS30471C014
223,EGS30581C010
224,EGS305I1C011
225,EGS30901C010
226,EGS30AL1C012
227,EGS32041C013
228,EGS32161C019
229,EGS32221C011
230,EGS32331C018
231,EGS33041C012
232,EGS33061C010
233,EGS33321C018
234,EGS36021C011
235,EGS36091C014
236,EGS360A1C011
237,EGS37091C013
238,EGS370W1C013
239,EGS38081C013
240,EGS380G1C011
241,EGS380P1C010
242,EGS380R1C018
243,EGS380S1C017
244,EGS38161C013
245,EGS38171C012
246,EGS38191C010
247,EGS381B1C015
248,EGS38201C017
249,EGS38211C016
250,EGS38251C012
251,EGS382M1C011
252,EGS38311C014
253,EGS38321C013
254,EGS38331C012
255,EGS38341C011
256,EGS38351C010
257,EGS38381C017
258,EGS38391C016
259,EGS38411C012
260,EGS38421C011
261,EGS39011C019
262,EGS39061C014
263,EGS3A221C018
264,EGS3C001C012
265,EGS3C071C015
266,EGS3C0O1C016
267,EGS3C111C019
268,EGS3C151C015
269,EGS3C161C014
270,EGS3C251C013
271,EGS3C351C011
272,EGS3C371C019
273,EGS3C391C017
274,EGS3C401C014
275,EGS3C4L1C015
276,EGS3D031C018
277,EGS3D041C017
278,EGS3D061C015
279,EGS3D0C1C018
280,EGS3E071C013
281,EGS3E181C010
282,EGS3E1E1C013
283,EGS3F021C017
284,EGS3G0Z1C014
285,EGS3G111C015
286,EGS3G231C011
287,EGS3JM11C012
288,EGS42051C010
289,EGS42101C013
290,EGS42111C012
291,EGS42121C011
292,EGS44012C010
293,EGS44031C010
294,EGS46051C016
295,EGS47021C018
296,EGS48022C015
297,EGS48031C016
298,EGS51191C012
299,EGS512O1C012
300,EGS52041C018
301,EGS53051C016
302,EGS597R1C017
303,EGS60041C018
304,EGS60081C014
305,EGS600K1C019
306,EGS60101C010
307,EGS60111C019
308,EGS60121C018
309,EGS60142C014
310,EGS60182C010
311,EGS60231C015
312,EGS60241C014
313,EGS60301C016
314,EGS60321C014
315,EGS60322C012
316,EGS63031C016
317,EGS63041C015
318,EGS65011C016
319,EGS65061C011
320,EGS65071C010
321,EGS65081C019
322,EGS65091C018
323,EGS65131C012
324,EGS651B1C018
325,EGS65211C012
326,EGS65341C017
327,EGS65441C015
328,EGS65461C013
329,EGS65511C015
330,EGS65541C012
331,EGS65551C011
332,EGS65571C019
333,EGS65591C017
334,EGS655L1C012
335,EGS65771C015
336,EGS65851C015
337,EGS67001C015
338,EGS67031C012
339,EGS67032C010
340,EGS67181C015
341,EGS67191C014
342,EGS67221C019
343,EGS672I2C014
344,EGS67331C016
345,EGS673T1C012
346,EGS673Y1C015
347,EGS675S1C011
348,EGS676N1C015
349,EGS68181C014
350,EGS681D1C010
351,EGS681I1C015
352,EGS69011C012
353,EGS69021C011
354,EGS69081C023
355,EGS69082C013
356,EGS690C1C010
357,EGS69101C011
358,EGS69182C011
359,EGS69191C012
360,EGS691A1C011
361,EGS691D1C018
362,EGS691G1C015
363,EGS691L1C018
364,EGS691S1C011
365,EGS691T1C010
366,EGS69261C013
367,EGS693V1C014
368,EGS69491M015
